OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
30,BS1539,7059,Y,King St Before Ochterloney St (7059),A,CPD1712,200002705,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R1,PRI2,,,ea282b40-bf75-454e-b55b-09baccd99435,2/22/2017 12:00:00 AM,8/30/2019 12:00:00 AM,,-7076379.0896,5569174.4033
32,BS2395,6267,Y,Cobequid Rd After Nelson Dr (6267),A,CPD2374,100001347,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ2,,PRI2,,,6fd35a12-b198-4402-b5f3-0fc0ef8bde04,2/22/2017 12:00:00 AM,,,-7086243.0709,5583949.4297
33,BS1466,8489,Y,Willett St After Chelsea Ln (8489),A,CPD263,700005230,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ7,,PRI2,,SHELTER,efbf3855-3e50-4135-acfb-029743426b4e,2/22/2017 12:00:00 AM,,1/1/2014 12:00:00 AM,-7085713.2117,5567735.45
34,BS2433,7201,Y,Merrimac Dr Before Arklow Dr (7201),A,CPD2406,200001702,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,0a092062-2c47-44c7-a936-27006b13d3ae,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7067288.529,5570572.9929
37,BS4448,2356,Y,Primrose St Before Roberts Bruns Dr (2356),A,CPD3185,,TRBSAC,,XY,8/26/2025 1:31:22 PM,8/26/2025 1:34:38 PM,INS,,Y,,,,,,5aa24129-b473-446e-ba7c-00ddf2ee9ef8,,,,-7078328.3724,5571638.9506
38,BS1480,6048,Y,Ashgrove Ave After Cole Harbour Rd (6048),N,CPD265,200001352,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,SHELTER - STAND ALONE,971abcc7-528e-4317-bd53-e30f42462c6e,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7066912.1643,5570020.3409
39,BS2604,6660,Y,Lacewood Dr Before Willett St (6660),A,CPD2553,700005308,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ7,,PRI2,,SHELTER,ffba7b1a-359b-4ac0-9c95-06413bfd73b3,2/22/2017 12:00:00 AM,10/22/2020 12:00:00 AM,1/1/2016 12:00:00 AM,-7086248.6249,5568521.6793
41,BS2470,6876,Y,Herring Cove Rd At Civic 540 (6876),A,CPD2315,300002661,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/30/2024 5:23:13 PM,INS,,Y,WSZ4,,PRI2,,<Null>,da113927-02be-4b60-845f-75aeee38f7c1,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2016 12:00:00 AM,-7080599.7187,5558724.3958
42,BS3542,2321,Y,Susie Lake Cr Before Hobsons Lake Dr (2321),A,,,TRBSAC,TRANSIT,IN,11/21/2023 2:56:45 PM,12/4/2024 1:16:26 PM,INS,11/20/2023 12:00:00 AM,Y,WSZ4,,,SALT,,33215bdf-6925-4273-8278-ce5c684dd295,,,,-7088753.4433,5565902.5327
44,BS1366,8892,Y,Mt Hope Ave Before Neptune Cr (8892),A,CPD1535,200000688,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ8,,PRI2,,,6b94a4ff-633f-46de-b1f8-b93f51a267e6,2/22/2017 12:00:00 AM,9/26/2019 12:00:00 AM,,-7073304.4188,5567706.2887
